SUBNATIONAL1,SUBNATIONAL2,THRESHOLD,AREA_HA,TC_LOSS_HA_2017,TC_LOSS_HA_2018
AÏN DEFLA,BORDJ EMIR KHALED,10,16976,1,0
AÏN DEFLA,BORDJ EMIR KHALED,15,16976,1,0
AÏN DEFLA,BORDJ EMIR KHALED,20,16976,1,0
AÏN DEFLA,BORDJ EMIR KHALED,25,16976,1,0
AÏN DEFLA,BORDJ EMIR KHALED,30,16976,1,0
AÏN DEFLA,BORDJ EMIR KHALED,50,16976,0,0
AÏN DEFLA,BORDJ EMIR KHALED,75,16976,0,0
AÏN DEFLA,BOUMEDFAA,10,12902,1,1
AÏN DEFLA,BOUMEDFAA,15,12902,1,1
AÏN DEFLA,BOUMEDFAA,20,12902,1,1
AÏN DEFLA,BOUMEDFAA,25,12902,1,1
AÏN DEFLA,BOUMEDFAA,30,12902,1,1
AÏN DEFLA,BOUMEDFAA,50,12902,1,0
AÏN DEFLA,BOUMEDFAA,75,12902,0,0
AÏN DEFLA,BOURACHED,10,12212,0,5
AÏN DEFLA,BOURACHED,15,12212,0,4
AÏN DEFLA,BOURACHED,20,12212,0,4
AÏN DEFLA,BOURACHED,25,12212,0,4
AÏN DEFLA,BOURACHED,30,12212,0,4
AÏN DEFLA,BOURACHED,50,12212,0,4
AÏN DEFLA,BOURACHED,75,12212,0,3
AÏN DEFLA,DJELIDA,10,20461,1,0
AÏN DEFLA,DJELIDA,15,20461,1,0
AÏN DEFLA,DJELIDA,20,20461,1,0
AÏN DEFLA,DJELIDA,25,20461,1,0
AÏN DEFLA,DJELIDA,30,20461,1,0
