COUNTRY,SUBNATIONAL1,SUBNATIONAL2,THRESHOLD,AREA_HA,EXTENT_2000_HA,EXTENT_2010_HA,GAIN_2000_2012_HA,TC_LOSS_HA_2001,TC_LOSS_HA_2002,TC_LOSS_HA_2003,TC_LOSS_HA_2004,TC_LOSS_HA_2005,TC_LOSS_HA_2006,TC_LOSS_HA_2007,TC_LOSS_HA_2008,TC_LOSS_HA_2009,TC_LOSS_HA_2010,TC_LOSS_HA_2011,TC_LOSS_HA_2012,TC_LOSS_HA_2013,TC_LOSS_HA_2014,TC_LOSS_HA_2015,TC_LOSS_HA_2016,TC_LOSS_HA_2017,TC_LOSS_HA_2018
ALGERIA,AÏN TÉMOUCHENT,AIN TEMOUCHENT,10,7816,16,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,AIN TOLBA,10,6491,26,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,AOUBELLIL,10,8022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,BENI SAF,10,6341,792,264,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1
ALGERIA,AÏN TÉMOUCHENT,BOU ZEDJAR,10,5766,825,406,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
ALGERIA,AÏN TÉMOUCHENT,CHAABET EL HAM,10,6768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,CHENTOUF,10,5703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,EL AMRIA,10,8870,40,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,EL MALAH,10,6917,29,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,EL MESSAID,10,9225,626,242,14,2,0,0,3,1,0,1,0,0,0,0,17,4,8,0,3,0,0
ALGERIA,AÏN TÉMOUCHENT,EMIR ABDELKADER,10,4612,96,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,HAMMAM BOUHADJAR,10,17946,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,HASSASNA,10,8593,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,HASSI EL GHELLA,10,5966,11,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,OUED BERKECHE,10,4222,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,OUED SEBBAH,10,22384,86,54,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,OULED BOUDJEMAA,10,8500,514,232,15,0,0,0,0,0,0,0,4,2,0,0,15,6,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,OULED KIHEL,10,3471,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,OULHACA EL GHERABA,10,9001,431,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,SIDI BEN ADDA,10,7347,32,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,SIDI BOUMEDIENE,10,4993,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,SIDI OURIACHE|TADMAYA,10,6527,40,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,SIDI SAFI,10,6732,128,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,TAMZOURA,10,23091,625,285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN TÉMOUCHENT,TERGA,10,6630,34,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,AIN DJASSER,10,12871,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,AIN TOUTA,10,17340,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,AIN YAGOUT,10,15489,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,ARRIS,10,15210,568,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ALGERIA,BATNA,AZIL ABDELKADER (METKOUAK)
ALGERIA,BATNA,BARIKA,10,30302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,BATNA,10,11702,847,183,0,0,5,30,1,0,7,0,0,32,0,15,1,3,3,0,0,0,4
ALGERIA,BATNA,BENI FOUDALA EL HAKANIA,10,30128,4311,207,0,5,1,66,18,7,0,92,319,11,1,4,1,0,0,0,0,0,3
ALGERIA,BATNA,BITAM,10,94157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,BOULHILAT,10,16198,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,BOUMEGUEUR,10,11396,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,BOUMIA,10,15242,867,260,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALGERIA,BATNA,BOUZINA,10,19692,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,CHEMORA,10,26267,97,38,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,CHIR,10,7885,916,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ALGERIA,BATNA,DJERMA,10,9982,353,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,DJEZZAR,10,32718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,EL HASSI,10,5988,126,26,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,EL MADHER,10,10187,1684,431,2,0,0,5,0,2,1,0,0,1,0,0,0,0,1,1,0,0,1
ALGERIA,BATNA,FESDIS,10,8605,712,72,7,0,0,4,0,0,1,7,1,23,0,1,0,1,0,0,0,0,4
ALGERIA,BATNA,FOUM TOUB,10,10934,616,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,GHESSIRA,10,23875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,GOSBAT,10,27600,439,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,GUIGA,10,6348,162,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,HIDOUSSA,10,15146,1603,712,1,0,3,23,21,1,26,0,0,23,0,14,2,0,0,0,0,3,1
ALGERIA,BATNA,ICHMOUL,10,12469,1022,175,2,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,INOUGHISSEN,10,7267,315,54,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALGERIA,BATNA,KIMMEL,10,55488,2879,566,4,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,KSAR BELLEZMA,10,8990,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,LARBAA,10,10113,1536,58,0,2,0,24,2,2,0,10,5,15,0,2,4,0,0,0,0,0,0
ALGERIA,BATNA,LAZROU,10,16226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,LEMSANE,10,6794,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,M DOUKAL,10,25297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,MAAFA,10,15343,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,BATNA,MENAA,10,19121,1541,1,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0
